bathrooms,bedrooms,city,region,monthSold,homeType,livingArea,lotSize,price,yearBuilt,resoFacts.garageParkingCapacity,NearestSchoolDistance,NearestHospitalDistance,ShopsIn2Miles
3,2,San Francisco,Bay Area,July,CONDO,1413,5767,1500000,2009,0,0.4532759,0.58018989,663
3,3,Redondo Beach,LA County,September,SINGLE_FAMILY,1892,2501,1675000,1988,2,0.05796789,1.91548568,432
4,3,Los Angeles,LA County,September,SINGLE_FAMILY,4169,4991,2400000,1985,3,0.64663497,2.02201204,437
3,4,Orange,Orange County,June,SINGLE_FAMILY,3549,13200,1475000,1978,3,0.39136481,2.25616701,25
3,3,Newport Beach,Orange County,August,TOWNHOUSE,1440,1433,1170000,1963,2,0.60007603,0.26145115,105
3,3,Los Angeles,LA County,August,SINGLE_FAMILY,2897,5022,2475000,1928,0,0.75771533,2.09592634,427
2,2,La Jolla,San Diego County,August,CONDO,1493,6493,1600000,2004,1,0.59486423,3.26915295,41
4,4,Los Angeles,LA County,August,SINGLE_FAMILY,2557,8150,2221711,1950,0,0.87887117,2.74717025,90
3,4,San Diego,San Diego County,September,SINGLE_FAMILY,2163,4503,2050000,1989,2,0.30254953,1.81485826,39
3,5,San Diego,San Diego County,July,SINGLE_FAMILY,3472,10329,2340000,2003,3,0.2734394,2.65332079,31
2,5,Long Beach,LA County,August,MULTI_FAMILY,2701,2973,1500000,1928,3,0.29799735,1.41523022,233
2,3,Solana Beach,San Diego County,June,CONDO,1975,,1625000,1978,2,0.62778368,3.60927583,24
4,4,Carlsbad,San Diego County,August,SINGLE_FAMILY,4283,73180,1642000,1985,2,1.20555129,4.13620278,24
3,4,La Jolla,San Diego County,July,SINGLE_FAMILY,2400,21000,2150000,1969,2,0.96403999,3.22840144,59
2,3,Rancho Palos Verdes,South Bay,August,SINGLE_FAMILY,1920,17476,1600000,1963,0,0.49621553,3.93623622,38
3,5,San Gabriel,San Gabriel Valley,August,SINGLE_FAMILY,3000,19170,1430000,1940,2,0.36170364,1.14662857,65
2,3,Woodland Hills,San Fernando Valley,June,SINGLE_FAMILY,2076,16066,1280000,1964,2,0.73615035,1.78393627,25
3,4,Fullerton,Orange County,August,SINGLE_FAMILY,2559,5134,1360000,2000,2,0.40293802,0.97986103,96
6,6,Covina,San Gabriel Valley,August,MULTI_FAMILY,3445,8144,1525000,1950,6,0.3312217,0.79058796,50
3,3,Rancho Palos Verdes,South Bay,July,SINGLE_FAMILY,2447,4415,1770000,1988,2,1.34159352,4.95183088,0
2,3,Woodland Hills,San Fernando Valley,August,SINGLE_FAMILY,1387,6669,1220000,1957,0,0.18533528,1.40556054,70
4,4,La Canada Flintridge,LA County,June,SINGLE_FAMILY,3152,6442,1725000,1949,2,0.73870659,0.33196569,70
3,5,Los Angeles,LA County,September,SINGLE_FAMILY,1966,4295,1770000,1950,0,0.31592759,0.87681701,367
3,4,Canoga Park,San Fernando Valley,September,SINGLE_FAMILY,1859,9434,1256000,1984,3,0.24616891,1.10426101,23
2,3,Los Angeles,LA County,August,SINGLE_FAMILY,2182,7483,2300000,1958,2,0.93822763,2.68197561,128
1,3,Monterey,Central Coast,August,SINGLE_FAMILY,979,3484,1250000,1950,0,0.13763591,3.02688373,149
4,5,Canoga Park,San Fernando Valley,August,SINGLE_FAMILY,2428,7644,1100000,2013,2,0.51145683,2.61460526,133
3,3,La Canada Flintridge,LA County,August,SINGLE_FAMILY,3269,9718,2300000,1945,2,0.18509046,2.15277235,15
3,5,San Diego,San Diego County,August,SINGLE_FAMILY,3697,6392,2275000,2001,2,0.63273591,2.11139167,37
NA,NA,NA,NA,August,NA,3458,NA,1185000,2004,2,NA,NA,NA
2,2,Santa Barbara,Central Coast,August,SINGLE_FAMILY,1678,9147,1823000,1966,0,0.41395268,1.41355374,44
0,8,San Francisco,Bay Area,August,MULTI_FAMILY,4500,3598,2198000,1959,0,0.09679872,0.09480574,1438
3,4,La Canada Flintridge,LA County,September,SINGLE_FAMILY,1936,13535,1710000,1967,2,0.70006816,0.45012851,72
8,8,Redondo Beach,LA County,August,MULTI_FAMILY,4120,5518,2180000,1963,4,0.24434122,1.74492395,380
3,4,Woodland Hills,San Fernando Valley,August,SINGLE_FAMILY,2803,20352,1750000,1966,2,0.92997742,2.07316969,13
